R110+Gly_Obs560nm_slitex10em5_780V_VV_Geoffrey,,R110+Gly_Obs560nm_slitex10em5_780V_VH_Geoffrey1,,R110+Gly_Exc470nm_slitex10em5_780V_VV_Geoffrey2,,R110+Gly_Exc470nm_slitex10em5_780V_VH_Geoffrey3,,R110+Gly_Exc470nm_slitex10em5_780V_HV_Geoffrey4,,R110+Gly_Exc470nm_slitex10em5_780V_HH_Geoffrey5,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
402,7.607233047,402,2.65696764,481.9400024,6.006161213,481.9400024,2.837900877,481.9400024,2.412256956,481.9400024,1.533112884,
403.0700073,7.256437778,403.0700073,2.813820839,482.980011,6.246257305,482.980011,3.065746069,482.980011,2.552372932,482.980011,1.497349024,
404,6.960371494,404,2.322383881,484.019989,6.558225155,484.019989,3.334063768,484.019989,2.799766302,484.019989,1.572047353,
405.0700073,7.090289593,405.0700073,2.242913485,485.0700073,7.228918076,485.0700073,3.308552742,485.0700073,2.878545284,485.0700073,1.808160305,
406,6.970493317,406,2.176445246,485.9700012,8.005660057,485.9700012,3.605038404,485.9700012,3.089402199,485.9700012,2.002784491,
407.0700073,7.07170105,407.0700073,2.201586962,487.0100098,9.217506409,487.0100098,3.769180536,487.0100098,3.390185833,487.0100098,2.13871789,
408,7.133005619,408,2.393750191,488.0499878,9.598563194,488.0499878,3.925035238,488.0499878,3.906950951,488.0499878,2.291140795,
409.0700073,7.298304081,409.0700073,2.848762989,488.9500122,10.26915836,488.9500122,4.324501038,488.9500122,4.617210388,488.9500122,2.269479036,
410,7.511586189,410,2.659847975,490,12.43764019,490,4.940882683,490,5.367563725,490,2.393955708,
411.0599976,7.341418266,411.0599976,2.379106045,491.0599976,15.03934479,491.0599976,5.1439147,491.0599976,5.938946724,491.0599976,2.887252331,
411.9599915,7.537377834,411.9599915,2.180833817,491.9599915,17.93114853,491.9599915,5.420236111,491.9599915,6.897838116,491.9599915,3.32537961,
413.0299988,7.533177376,413.0299988,2.190063477,493.0299988,20.24495697,493.0299988,6.375117779,493.0299988,8.289415359,493.0299988,3.685377598,
413.9299927,7.222587109,413.9299927,2.083695173,493.9299927,23.32491112,493.9299927,8.214693069,493.9299927,10.02810383,493.9299927,4.46876955,
415,6.885828972,415,2.164472818,495,27.62958527,495,10.19536781,495,11.46392155,495,5.707062244,
416.0599976,7.506396294,416.0599976,2.342115402,496.0599976,32.91069794,496.0599976,11.68693352,496.0599976,13.77681351,496.0599976,6.716518879,
416.9599915,7.744715691,416.9599915,2.350592852,496.9599915,39.31760025,496.9599915,13.34052467,496.9599915,17.28051186,496.9599915,7.799075603,
418.0299988,7.634651184,418.0299988,2.227359295,498.0299988,46.23704529,498.0299988,15.99001408,498.0299988,21.28721809,498.0299988,9.382940292,
418.9299927,7.458425999,418.9299927,2.093970537,498.9299927,55.59309006,498.9299927,19.983078,498.9299927,25.79348183,498.9299927,11.38654423,
420,7.614177227,420,2.206890583,500,65.6270752,500,24.36023712,500,29.91862488,500,13.40618324,
421.0599976,7.590326309,421.0599976,2.49793148,501.0400085,77.66779327,501.0400085,28.76181221,501.0400085,35.72325134,501.0400085,16.47834778,
421.9599915,8.429297447,421.9599915,2.721722841,501.9400024,91.67839813,501.9400024,32.37647629,501.9400024,41.24056244,501.9400024,19.56908035,
423.0299988,9.585886002,423.0299988,2.712536335,502.980011,107.8891983,502.980011,37.00024796,502.980011,48.30752563,502.980011,22.3953476,
423.9299927,10.15064716,423.9299927,2.795224905,504.019989,128.1855927,504.019989,43.6914444,504.019989,56.84161758,504.019989,26.22169876,
425,10.50037861,425,2.980524063,505.0700073,149.7522125,505.0700073,49.72412491,505.0700073,67.86585236,505.0700073,30.8333149,
426.0599976,11.3738842,426.0599976,3.627408743,505.9700012,172.423111,505.9700012,57.15878296,505.9700012,78.84754944,505.9700012,36.1110611,
426.9599915,12.47012329,426.9599915,3.908281326,507.0100098,193.90979,507.0100098,66.27497864,507.0100098,89.79774475,507.0100098,40.80358124,
428.0299988,12.57440853,428.0299988,3.709816694,508.0499878,221.769104,508.0499878,75.0838623,508.0499878,100.2112961,508.0499878,47.05585098,
428.9299927,13.08870888,428.9299927,3.682156324,508.9500122,250.6339111,508.9500122,83.07060242,508.9500122,110.3362198,508.9500122,52.19382095,
430,14.25341702,430,4.049173355,510,283.1637573,510,93.95909119,510,126.1445236,510,58.75868988,
431.0599976,15.46263981,431.0599976,4.438876152,511.0400085,313.2785339,511.0400085,105.288147,511.0400085,140.6213379,511.0400085,65.11562347,
431.9599915,15.82318211,431.9599915,4.239857674,511.9400024,344.2549438,511.9400024,113.0313416,511.9400024,152.9749146,511.9400024,70.68640137,
433.0299988,16.61956787,433.0299988,5.003981113,512.9799805,376.4639587,512.9799805,122.734581,512.9799805,163.8968048,512.9799805,76.49368286,
433.9299927,17.09289742,433.9299927,5.498633385,514.0200195,409.9981079,514.0200195,134.0355988,514.0200195,180.8427429,514.0200195,82.98330688,
435,18.43433189,435,5.921055794,515.0700073,442.6526489,515.0700073,146.2838593,515.0700073,198.1513367,515.0700073,90.74788666,
436.0599976,19.42984962,436.0599976,5.707452774,515.9699707,472.0385132,515.9699707,153.5583038,515.9699707,215.3417511,515.9699707,96.26247406,
436.9599915,20.68110847,436.9599915,5.823300838,517.0100098,499.0045776,517.0100098,163.2898865,517.0100098,228.3430023,517.0100098,101.0328827,
438.0299988,21.92942429,438.0299988,6.107009888,518.0499878,523.6398926,518.0499878,172.2973938,518.0499878,237.3404388,518.0499878,105.2764893,
438.9299927,22.84461212,438.9299927,6.385532379,518.9500122,552.1931152,518.9500122,179.709198,518.9500122,249.2610626,518.9500122,110.4460373,
440,23.46764565,440,7.078883171,520,576.812561,520,185.9494781,520,259.8274231,520,115.0488129,
441.0599976,25.04647446,441.0599976,7.808232784,521.039978,588.4390259,521.039978,194.1157532,521.039978,265.1480103,521.039978,118.8794174,
441.9599915,28.41814423,441.9599915,8.215021133,521.9400024,600.7680664,521.9400024,199.3450165,521.9400024,267.0129395,521.9400024,122.0311661,
443.0299988,30.46603584,443.0299988,8.651963234,522.9799805,614.0476685,522.9799805,199.9092712,522.9799805,271.5916138,522.9799805,122.6845856,
443.9299927,32.34108734,443.9299927,9.174674988,524.0200195,620.2972412,524.0200195,201.335495,524.0200195,279.9088135,524.0200195,122.3657913,
445,34.395298,445,10.16528034,525.0700073,620.6293335,525.0700073,201.1272583,525.0700073,281.714386,525.0700073,123.3371658,
446.0599976,36.67822647,446.0599976,10.6727314,525.9699707,622.2398071,525.9699707,198.0534058,525.9699707,285.0992432,525.9699707,124.2982788,
446.9599915,38.84472656,446.9599915,11.55413437,527.0100098,622.1408081,527.0100098,193.3442078,527.0100098,282.6444702,527.0100098,122.8365707,
448.0299988,40.84894562,448.0299988,12.37495422,528.0499878,617.3396606,528.0499878,191.1897583,528.0499878,283.1361389,528.0499878,121.0349579,
448.9299927,42.94373322,448.9299927,13.21781158,528.9500122,610.5925903,528.9500122,189.8125458,528.9500122,274.6218872,528.9500122,118.3524094,
450,44.83773041,450,13.91060734,530,590.0465698,530,186.4868774,530,269.0953979,530,115.6837082,
451.0599976,48.20389938,451.0599976,14.17152882,531.039978,572.0350952,531.039978,182.0756989,531.039978,263.4423523,531.039978,112.8550568,
451.9599915,51.27944946,451.9599915,15.52857304,531.9400024,561.8795166,531.9400024,175.2353821,531.9400024,256.1721497,531.9400024,109.9908295,
453.0299988,55.09439087,453.0299988,16.17200279,532.9799805,547.8693848,532.9799805,169.1974487,532.9799805,247.4783173,532.9799805,105.7686844,
453.9299927,57.52385712,453.9299927,17.07469368,534.0200195,527.1854858,534.0200195,161.9849854,534.0200195,238.1295471,534.0200195,101.940506,
455,61.34131622,455,17.93078613,535.0700073,505.8136597,535.0700073,155.6790161,535.0700073,229.431366,535.0700073,98.31596375,
456.0599976,64.22338104,456.0599976,18.90907288,535.9699707,489.4309998,535.9699707,149.0783997,535.9699707,218.5784607,535.9699707,93.22895813,
456.9599915,69.62918854,456.9599915,19.65793228,537.0100098,469.8389282,537.0100098,141.7508087,537.0100098,210.2015381,537.0100098,88.05185699,
458.0299988,74.49336243,458.0299988,21.57386017,538.0499878,451.3468018,538.0499878,136.96521,538.0499878,199.7734375,538.0499878,83.55807495,
458.9299927,79.80541229,458.9299927,24.33884811,538.9500122,428.8937683,538.9500122,131.1324005,538.9500122,190.7706451,538.9500122,81.29158783,
460,84.43243408,460,26.29624748,540,409.6129761,540,126.389679,540,182.7608948,540,77.85746765,
461.0599976,91.31661987,461.0599976,27.20216751,541.0200195,389.0942383,541.0200195,118.543396,541.0200195,174.93573,541.0200195,73.64344025,
461.9599915,100.106636,461.9599915,28.62307739,542.0499878,371.9972534,542.0499878,112.7257004,542.0499878,166.3331909,542.0499878,68.75798035,
463.0299988,109.416954,463.0299988,30.34739685,542.9400024,354.6408386,542.9400024,106.8656616,542.9400024,158.4925385,542.9400024,65.61553192,
463.9299927,118.098587,463.9299927,32.93634796,543.9699707,339.1244202,543.9699707,101.6073303,543.9699707,151.8792114,543.9699707,62.20365143,
465,126.3645325,465,36.51324844,545,318.7944031,545,95.70278931,545,143.1504822,545,59.19810486,
466.0599976,133.6703491,466.0599976,40.07544327,546.0200195,301.6734009,546.0200195,91.0382843,546.0200195,135.5396881,546.0200195,56.48944092,
466.9599915,139.36203,466.9599915,41.99307632,547.0499878,284.0227051,547.0499878,87.24121857,547.0499878,126.3098297,547.0499878,53.4425621,
468.0299988,145.647934,468.0299988,42.87656403,547.9400024,272.1793213,547.9400024,83.02320099,547.9400024,121.160347,547.9400024,51.01276398,
468.9299927,154.4307556,468.9299927,44.74198532,548.9699707,257.8336792,548.9699707,78.0973587,548.9699707,117.3892517,548.9699707,48.8653717,
470,166.3599548,470,47.44406891,550,244.0006104,550,73.56170654,550,113.2080231,550,46.07712555,
471.0599976,172.6390381,471.0599976,49.69979477,551.039978,231.6416321,551.039978,69.29301453,551.039978,105.5259476,551.039978,43.44765472,
471.9599915,181.1440125,471.9599915,51.64217377,551.9400024,225.6543274,551.9400024,66.16415405,551.9400024,100.1090469,551.9400024,42.5036087,
473.0299988,185.7380829,473.0299988,53.53393173,552.9799805,216.6491394,552.9799805,64.56336975,552.9799805,96.26570892,552.9799805,40.91254044,
473.9299927,194.7179413,473.9299927,55.4669838,554.0200195,209.2840576,554.0200195,61.78408432,554.0200195,93.28181458,554.0200195,38.12353516,
475,197.4446411,475,57.24241638,555.0700073,200.7253265,555.0700073,58.16246414,555.0700073,89.23206329,555.0700073,36.02151489,
476.0599976,202.2211151,476.0599976,57.23048782,555.9699707,191.426178,555.9699707,54.76836014,555.9699707,86.77527618,555.9699707,33.94248581,
476.9599915,202.0806732,476.9599915,58.12919998,557.0100098,181.6933594,557.0100098,53.03522491,557.0100098,82.98905182,557.0100098,31.74286079,
478.0299988,203.7410278,478.0299988,59.36926651,558.0499878,175.4934082,558.0499878,51.6527977,558.0499878,78.80095673,558.0499878,29.85942841,
478.9299927,205.92659,478.9299927,61.82621765,558.9500122,169.3225555,558.9500122,49.33662796,558.9500122,76.16592407,558.9500122,29.5653019,
480,213.6950684,480,64.04888153,560,162.4600372,560,48.12336349,560,73.87029266,560,28.48804855,
481.0400085,224.3333588,481.0400085,67.57465363,561.0200195,154.4424744,561.0200195,47.21251678,561.0200195,70.87596893,561.0200195,27.64208031,
481.9400024,236.8431244,481.9400024,69.74000549,562.0499878,149.4936523,562.0499878,46.54006958,562.0499878,68.32521057,562.0499878,26.19024658,
482.980011,253.4466095,482.980011,73.51261139,562.9400024,147.8595734,562.9400024,43.56416702,562.9400024,67.04125977,562.9400024,26.27412796,
484.019989,270.1959534,484.019989,77.53658295,563.9699707,144.3997192,563.9699707,41.64787674,563.9699707,65.29721832,563.9699707,26.14044189,
485.0700073,286.8258057,485.0700073,82.97042847,565,138.8433685,565,41.06208038,565,63.25211334,565,25.55814743,
485.9700012,305.5130005,485.9700012,88.20195007,566.0200195,133.2246246,566.0200195,39.79038239,566.0200195,60.82212067,566.0200195,24.4060154,
487.0100098,328.6739502,487.0100098,95.99317932,567.0499878,128.8586426,567.0499878,37.41147614,567.0499878,58.05141449,567.0499878,23.66407204,
488.0499878,348.5866699,488.0499878,102.358139,567.9400024,123.6296921,567.9400024,34.77952194,567.9400024,54.83411026,567.9400024,22.79267502,
488.9500122,370.0268555,488.9500122,108.4641418,568.9699707,119.916153,568.9699707,34.20827103,568.9699707,52.71521378,568.9699707,20.61244202,
490,397.4532471,490,114.9753876,570,114.309227,570,33.0345726,570,52.64656067,570,19.32915115,
491.0599976,425.4357605,491.0599976,120.540596,571.0200195,110.7868347,571.0200195,30.7782402,571.0200195,51.42094421,571.0200195,19.00224113,
491.9599915,447.4545593,491.9599915,127.4490738,572.0499878,108.9360657,572.0499878,28.97558022,572.0499878,49.39066315,572.0499878,19.7539978,
493.0299988,469.4012146,493.0299988,133.3690796,572.9400024,106.8069687,572.9400024,28.66838455,572.9400024,46.11338043,572.9400024,18.78839874,
493.9299927,494.4560852,493.9299927,142.1412964,573.9699707,102.3225784,573.9699707,28.07528687,573.9699707,45.25947952,573.9699707,17.2901783,
495,521.2556152,495,148.9290314,575,95.98203278,575,26.97048759,575,43.67642593,575,15.83845139,
496.0599976,542.6099243,496.0599976,155.6038971,576.0200195,92.34827423,576.0200195,26.10374832,576.0200195,42.22551727,576.0200195,16.36210442,
496.9599915,566.0442505,496.9599915,159.8104095,577.0499878,89.16829681,577.0499878,24.88005066,577.0499878,39.81259537,577.0499878,16.1788063,
498.0299988,586.5083008,498.0299988,164.9292755,577.9400024,85.72497559,577.9400024,23.4830761,577.9400024,38.30328751,577.9400024,15.50152493,
498.9299927,609.8308105,498.9299927,170.6159058,578.9699707,80.92940521,578.9699707,21.95236778,578.9699707,36.87915802,578.9699707,13.65271854,
500,633.9364624,500,175.0006256,580,78.33547974,580,21.32839394,580,35.80244064,580,13.29724407,
501.0400085,651.6046143,501.0400085,184.4665222,581.0200195,75.06393433,581.0200195,20.27192116,581.0200195,34.42958069,581.0200195,12.50810528,
501.9400024,663.2362061,501.9400024,191.6315155,582.0499878,71.40945435,582.0499878,19.2690773,582.0499878,32.78477097,582.0499878,12.55677032,
502.980011,677.8178711,502.980011,198.1933441,582.9400024,68.80509186,582.9400024,18.79531288,582.9400024,31.3902092,582.9400024,12.01460743,
504.019989,701.2630615,504.019989,200.4058685,583.9699707,65.41936493,583.9699707,17.89586639,583.9699707,29.50536537,583.9699707,11.72009277,
505.0700073,718.9478149,505.0700073,204.9211426,585,61.69075012,585,16.8811245,585,27.96590233,585,10.95864773,
505.9700012,730.0294189,505.9700012,207.5744629,586.0200195,59.7879715,586.0200195,16.21839714,586.0200195,26.00328827,586.0200195,10.14993572,
507.0100098,739.3240967,507.0100098,210.21875,587.0499878,58.21924591,587.0499878,15.59213161,587.0499878,25.75806046,587.0499878,8.996321678,
508.0499878,745.6118774,508.0499878,210.122467,587.9400024,55.04947281,587.9400024,15.07636166,587.9400024,24.4353981,587.9400024,8.23707962,
508.9500122,750.8873291,508.9500122,211.2954712,588.9699707,50.92984009,588.9699707,14.061059,588.9699707,23.33535194,588.9699707,8.241538048,
510,752.9457397,510,214.3894501,590,47.67402649,590,13.89779854,590,21.89680862,590,8.198140144,
511.0400085,747.2781982,511.0400085,213.6847076,591.0200195,45.78385925,591.0200195,12.39167309,591.0200195,21.3296566,591.0200195,7.739786148,
511.9400024,742.6799316,511.9400024,209.1680145,592.0499878,45.20205307,592.0499878,11.80404758,592.0499878,19.70409012,592.0499878,7.307294846,
512.9799805,734.4152832,512.9799805,204.064621,592.9400024,43.53236008,592.9400024,10.48094177,592.9400024,18.58825874,592.9400024,6.98144865,
514.0200195,717.9685059,514.0200195,199.636673,593.9699707,40.32364655,593.9699707,10.37027359,593.9699707,17.80393982,593.9699707,7.278845787,
515.0700073,690.4570313,515.0700073,193.1167603,595,38.48078918,595,10.4438448,595,17.32531357,595,7.301557541,
515.9699707,671.3366699,515.9699707,186.9944611,596.0200195,37.292202,596.0200195,10.1694994,596.0200195,16.50333023,596.0200195,6.945824146,
517.0100098,648.9766235,517.0100098,180.8760223,597.0499878,36.18653488,597.0499878,9.49246788,597.0499878,16.02747154,597.0499878,5.767105103,
518.0499878,617.8164673,518.0499878,174.5500336,597.9400024,34.23226166,597.9400024,9.302822113,597.9400024,15.36696434,597.9400024,5.156992435,
518.9500122,579.0790405,518.9500122,165.3007202,,,,,,,,,
520,536.1189575,520,150.9611664,,,,,,,,,
521.039978,488.7092896,521.039978,135.1908264,,,,,,,,,
521.9400024,440.8557129,521.9400024,122.122612,,,,,,,,,
522.9799805,397.4891052,522.9799805,111.7421722,,,,,,,,,
524.0200195,356.030304,524.0200195,100.1307678,,,,,,,,,
525.0700073,324.1161194,525.0700073,89.11364746,,,,,,,,,
525.9699707,293.2475891,525.9699707,79.717453,,,,,,,,,
527.0100098,265.7344666,527.0100098,70.70727539,,,,,,,,,
528.0499878,239.4034424,528.0499878,65.02358246,,,,,,,,,
528.9500122,217.4804077,528.9500122,59.69408798,,,,,,,,,
530,195.9212189,530,55.04318237,,,,,,,,,
531.039978,178.4718628,531.039978,48.8474884,,,,,,,,,
531.9400024,165.6335144,531.9400024,45.74207306,,,,,,,,,
532.9799805,151.5314941,532.9799805,41.86747742,,,,,,,,,
534.0200195,135.8656769,534.0200195,37.90988922,,,,,,,,,
535.0700073,120.3056564,535.0700073,33.6049881,,,,,,,,,
535.9699707,103.779953,535.9699707,28.85338593,,,,,,,,,
537.0100098,87.84869385,537.0100098,23.51440239,,,,,,,,,
538.0499878,72.30091858,538.0499878,19.36002541,,,,,,,,,

R110+Gly_Obs560nm_slitex10em5_780V_VV_Geoffrey,
