R110_EtOH_Observ520nm_5-5_800V-_Vv_slow_Geoff,,R110_EtOH_Observ520nm_5-5_800V-_VH_slow_Geoff1,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
352,19.39268875,352,12.68576145,
353.0700073,17.5868721,353.0700073,11.35497189,
354,16.73159409,354,10.12204647,
355.0700073,15.63333988,355.0700073,9.182933807,
356,14.44601536,356,9.073459625,
357.0700073,13.44938564,357.0700073,8.458662033,
358,12.7299614,358,8.33997345,
359.0700073,11.93501282,359.0700073,7.669132233,
360,11.22299862,360,7.084335804,
361.0700073,10.97989941,361.0700073,6.193238258,
362,10.99156952,362,6.366120815,
363.0700073,10.98459148,363.0700073,6.731632233,
364,10.52474976,364,6.597398281,
365.0700073,10.02978134,365.0700073,5.978881836,
366,9.560091019,366,5.383318901,
367.0700073,9.030881882,367.0700073,5.432529449,
368,8.325281143,368,5.68420887,
369.0700073,8.543251038,369.0700073,5.548832893,
370,8.665448189,370,5.321958542,
371.0700073,8.732827187,371.0700073,5.227521896,
372,8.047014236,372,5.193087101,
373.0700073,7.833010674,373.0700073,5.11482048,
374,8.011356354,374,4.856528282,
375.0700073,8.688107491,375.0700073,5.113266945,
376,8.831306458,376,5.215260506,
377.0700073,8.891139984,377.0700073,5.530903339,
378,8.831442833,378,5.548191071,
379.0700073,8.773503304,379.0700073,5.51550293,
380,8.765130043,380,5.13628912,
381.0599976,8.860905647,381.0599976,4.963172913,
381.9599915,8.777041435,381.9599915,5.226712227,
383.0299988,8.364925385,383.0299988,5.061981201,
383.9299927,8.454686165,383.9299927,5.019607067,
385,8.438324928,385,4.920449734,
386.0599976,8.359342575,386.0599976,4.922523975,
386.9599915,8.294179916,386.9599915,4.806250572,
388.0299988,8.360011101,388.0299988,4.848798275,
388.9299927,7.957408905,388.9299927,4.623607159,
390,7.605340004,390,4.461126804,
391.0700073,7.688436985,391.0700073,4.622913837,
392,7.859217167,392,4.583753109,
393.0700073,7.634114265,393.0700073,4.600550652,
394,7.787337303,394,4.484693527,
395.0700073,7.605557919,395.0700073,4.576776981,
396,7.680234432,396,4.373687744,
397.0700073,7.730857372,397.0700073,4.481001854,
398,7.678835392,398,4.383363247,
399.0700073,7.271613598,399.0700073,4.477644444,
400,7.130544186,400,4.29772234,
401.0700073,6.982986927,401.0700073,4.161687374,
402,6.937788963,402,3.804667234,
403.0700073,6.824477196,403.0700073,3.654702425,
404,6.915075302,404,3.791260719,
405.0700073,6.731882095,405.0700073,4.231995106,
406,7.342532158,406,4.388241291,
407.0700073,7.332440853,407.0700073,4.219837666,
408,7.280745029,408,4.197353363,
409.0700073,7.077279091,409.0700073,4.323890686,
410,7.429651737,410,4.242231369,
411.0599976,7.257045746,411.0599976,4.127377033,
411.9599915,7.446545601,411.9599915,4.184524536,
413.0299988,7.577552795,413.0299988,4.460445881,
413.9299927,8.012833595,413.9299927,4.705562115,
415,7.905276299,415,4.941990852,
416.0599976,8.06911087,416.0599976,4.723540783,
416.9599915,8.30191803,416.9599915,4.796593189,
418.0299988,8.923016548,418.0299988,5.108810902,
418.9299927,9.343909264,418.9299927,5.442579746,
420,9.89475441,420,5.537303925,
421.0599976,10.37010384,421.0599976,5.64681673,
421.9599915,10.8275404,421.9599915,6.074673653,
423.0299988,11.44343662,423.0299988,6.514237881,
423.9299927,12.44532681,423.9299927,7.369949818,
425,13.66015148,425,8.107568741,
426.0599976,14.28550243,426.0599976,8.862207413,
426.9599915,15.38639355,426.9599915,9.346088409,
428.0299988,16.44795799,428.0299988,10.0980444,
428.9299927,18.28022957,428.9299927,10.65005112,
430,19.50820541,430,11.22297859,
431.0599976,20.6702652,431.0599976,12.0475111,
431.9599915,21.4915123,431.9599915,13.07498741,
433.0299988,23.11594009,433.0299988,14.04123878,
433.9299927,24.62788391,433.9299927,14.41902828,
435,26.53694153,435,14.88172817,
436.0599976,28.08690643,436.0599976,15.78592682,
436.9599915,29.2310524,436.9599915,17.41104126,
438.0299988,31.20433617,438.0299988,18.82008171,
438.9299927,33.37283707,438.9299927,19.88667679,
440,35.33539581,440,21.25219727,
441.0599976,37.25232315,441.0599976,21.89050102,
441.9599915,39.95408249,441.9599915,23.21912766,
443.0299988,42.34036255,443.0299988,24.88579178,
443.9299927,44.6442337,443.9299927,26.48154831,
445,47.4845047,445,27.6796875,
446.0599976,50.61766434,446.0599976,29.33214378,
446.9599915,54.73730469,446.9599915,31.54693794,
448.0299988,59.21983719,448.0299988,33.34911346,
448.9299927,63.74758148,448.9299927,36.19441605,
450,68.33776093,450,39.013237,
451.0599976,72.04425812,451.0599976,42.07081985,
451.9599915,77.19545746,451.9599915,44.26842117,
453.0299988,82.75736237,453.0299988,47.8418045,
453.9299927,88.12246704,453.9299927,51.23537064,
455,92.49658966,455,55.2415123,
456.0599976,98.27202606,456.0599976,57.92442703,
456.9599915,105.2765656,456.9599915,60.97424698,
458.0299988,112.2789536,458.0299988,65.00858307,
458.9299927,122.2882614,458.9299927,71.7075119,
460,133.4468536,460,79.68493652,
461.0599976,144.8087616,461.0599976,85.10806274,
461.9599915,153.9271545,461.9599915,90.57710266,
463.0299988,162.6220093,463.0299988,94.81536865,
463.9299927,171.782486,463.9299927,99.57745361,
465,180.4845123,465,103.1259232,
466.0599976,188.1020355,466.0599976,109.2307281,
466.9599915,195.348053,466.9599915,113.9906464,
468.0299988,205.3690643,468.0299988,117.9176636,
468.9299927,215.9089508,468.9299927,122.1461487,
470,222.7617798,470,128.2164459,
471.0599976,226.6775665,471.0599976,133.7884369,
471.9599915,235.4473572,471.9599915,139.7609711,
473.0299988,245.2563934,473.0299988,142.7518311,
473.9299927,256.9187927,473.9299927,146.4581909,
475,263.4522095,475,150.5073395,
476.0599976,272.9758606,476.0599976,158.6832581,
476.9599915,282.771637,476.9599915,161.3743134,
478.0299988,297.8829651,478.0299988,166.0929871,
478.9299927,305.8595581,478.9299927,173.7145844,
480,312.1825256,480,181.7153168,
481.0400085,320.2848511,481.0400085,185.6289978,
481.9400024,338.5260315,481.9400024,193.3432007,
482.980011,363.0324707,482.980011,211.5151672,
484.019989,395.5092163,484.019989,232.4923859,
485.0700073,426.2379456,485.0700073,248.4170074,
485.9700012,456.247345,485.9700012,262.5753174,
487.0100098,488.8132629,487.0100098,282.5158691,
488.0499878,516.2341309,488.0499878,302.5335083,
488.9500122,539.9127197,488.9500122,318.5082092,
490,572.7318726,490,331.250946,
491.0599976,611.2754517,491.0599976,349.8829041,
491.9599915,644.3881226,491.9599915,365.3660278,
493.0299988,665.4428101,493.0299988,381.8692322,
493.9299927,694.6759033,493.9299927,399.3768005,
495,714.3425903,495,415.3768921,
496.0599976,728.1034546,496.0599976,425.3117371,
496.9599915,740.1499023,496.9599915,435.9313049,
498.0299988,762.3111572,498.0299988,440.8378601,
498.9299927,782.8980713,498.9299927,451.0744934,
500,792.6074829,500,457.4567871,
501.0400085,799.8121948,501.0400085,466.7831726,
501.9400024,797.1574707,501.9400024,461.91922,
502.980011,780.934082,502.980011,459.3788452,
504.019989,764.5772095,504.019989,448.8225708,
505.0700073,754.5695801,505.0700073,441.0984497,
505.9700012,738.2941895,505.9700012,427.3857727,
507.0100098,710.9552612,507.0100098,409.3386841,
508.0499878,682.390625,508.0499878,388.3645325,

R110_EtOH_Observ520nm_5-5_800V-_Vv_slow_Geoff,
R110_EtOH_Observ520nm_5-5_800V-_Vv_slow_Geoff
Collection Time: 2/4/25 2:31:05 PM
Operator Name  :
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el01023112
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        350.00
Stop (nm)                         510.00
Em. Wavelength (nm)               520.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Smoothing                         ON
Type                             Savitzky-Golay
Filter size                      5
Method Log     :
Method Name    : C:\VARIAN\CARY ECLIPSE WINFLR\Default.FMSW
Date/Time stamp: 2/4/25 1:25:26 PM
Method Modifications:
User Delta Increment Changed: 2/4/25 1:42:29 PM, Old:  10.00, New:   0.15
Smoothing Changed: 2/4/25 1:42:29 PM, Old:OFF, New:ON
Emission Wavelength Changed: 2/4/25 1:42:29 PM, Old: 400.00, New: 520.00
Stop Wavelength Changed: 2/4/25 1:42:29 PM, Old: 600.00, New: 510.00
PMT Volts Changed: 2/4/25 1:44:01 PM, Old:600, New:800
Emission PMT (V): Changed: 2/4/25 1:44:01 PM, Old: 600, New: 800
Ave. time (s): Changed: 2/4/25 1:44:43 PM, Old:0.10000, New:0.50000
End Method Modifications

R110_EtOH_Observ520nm_5-5_800V-_VH_slow_Geoff1,
R110_EtOH_Observ520nm_5-5_800V-_VH_slow_Geoff1
Collection Time: 2/4/25 2:32:51 PM
Operator Name  :
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          el01023112
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        350.00
Stop (nm)                         510.00
Em. Wavelength (nm)               520.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Smoothing                         ON
Type                             Savitzky-Golay
Filter size                      5
Method Log     :
Method Name    : C:\VARIAN\CARY ECLIPSE WINFLR\Default.FMSW
Date/Time stamp: 2/4/25 1:25:26 PM
Method Modifications:
User Delta Increment Changed: 2/4/25 1:42:29 PM, Old:  10.00, New:   0.15
Smoothing Changed: 2/4/25 1:42:29 PM, Old:OFF, New:ON
Emission Wavelength Changed: 2/4/25 1:42:29 PM, Old: 400.00, New: 520.00
Stop Wavelength Changed: 2/4/25 1:42:29 PM, Old: 600.00, New: 510.00
PMT Volts Changed: 2/4/25 1:44:01 PM, Old:600, New:800
Emission PMT (V): Changed: 2/4/25 1:44:01 PM, Old: 600, New: 800
Ave. time (s): Changed: 2/4/25 1:44:43 PM, Old:0.10000, New:0.50000
End Method Modifications

